Complexity,Loss,Equation
1,0.4244869,"0.00010104177"
3,0.14232239,"density * 0.00050626975"
4,0.137733,"sin(density) * 0.00051410764"
5,0.12520556,"(density ^ 0.89507145) * 0.00043713336"
6,0.10383351,"(density * 0.0004632442) / cos(angle_rad)"
7,0.095126815,"(density ^ sin(cos(angle_rad))) * 0.0003718902"
8,0.07190671,"density * (0.0004952184 / cos(angle_rad ^ 3.5089118))"
9,0.062089816,"sin(density / cos(angle_rad ^ 4.250196)) * 0.00050714106"
10,0.042619415,"(density ^ 0.86085254) * (0.0004084949 / cos(angle_rad ^ 2.9891813))"
11,0.042402074,"((sin(density) ^ 0.87671906) * 0.0004239999) / cos(angle_rad ^ 3.1858747)"
12,0.038110886,"((density ^ 0.85964185) * 0.00040359018) / cos((angle_rad ^ 3.1304169) + 0.056002893)"
13,0.030112335,"density * (0.0011433205 / (cos((angle_rad ^ 3.5162492) * 1.7249267) + exp(density)))"
15,0.02925105,"density * (0.0011431583 / (exp(density) + cos((angle_rad ^ (density - -3.2598438)) / -0.57673126)))"
16,0.029140584,"0.0011444483 * sin(density / (exp(density) + cos((angle_rad ^ (density - -3.1890366)) / -0.57407564)))"
17,0.028925098,"0.001143484 * sin(density / (exp(sin(density)) + cos((angle_rad ^ (density - -3.2598438)) / -0.57613486)))"
18,0.028646547,"density * (0.0011253642 / (cos(((angle_rad ^ exp(density)) ^ 1.3674576) / (1.5742738 - angle_rad)) + exp(density)))"
19,0.02365323,"(density * 0.0010901872) / (exp(density / 1.533904) + cos((sin(angle_rad ^ 13.64073) ^ density) / cos(angle_rad)))"
20,0.021816693,"(density / (cos(density) * (exp(density) + cos((sin(angle_rad ^ 11.462676) ^ density) / cos(angle_rad))))) * 0.001099472"
21,0.020994894,"density * (0.0010674293 / (exp(density / 1.8851064) + cos(((sin(angle_rad ^ 11.8093405) * 0.8840771) ^ density) / cos(angle_rad))))"
22,0.01919121,"(density / (cos(density) * (cos((sin(angle_rad ^ 10.604581) ^ density) / cos(angle_rad ^ 1.2709321)) + exp(density)))) * 0.0010968876"
23,0.019041087,"(0.0010968876 * density) / (cos(density) * (cos((sin(angle_rad ^ 10.604581) ^ sin(density)) / cos(angle_rad ^ 1.2709321)) + exp(density)))"
24,0.018999515,"(0.0010764598 / (exp(density / 1.6729894) + cos(((sin(angle_rad ^ 11.164915) ^ density) / (1.5324149 - angle_rad)) ^ (0.7433882 ^ density)))) * density"
25,0.018999513,"sin((0.0010764598 / (cos(((sin(angle_rad ^ 11.164915) ^ density) / (1.5324149 - angle_rad)) ^ (0.7433882 ^ density)) + exp(density / 1.6729894))) * density)"
26,0.01873325,"(density / (exp(density / 1.7154396) + cos(((sin(angle_rad ^ 12.117765) ^ density) / (1.5332004 - (angle_rad ^ angle_rad))) ^ (0.73636365 ^ density)))) * 0.001072882"
27,0.018502336,"density * (0.0010727461 / (cos(((sin(angle_rad ^ 12.117765) ^ sin(density)) / (1.5332004 - (angle_rad ^ angle_rad))) ^ (0.7363547 ^ density)) + exp(density / 1.7154402)))"
28,0.018502327,"density * sin(0.0010727461 / (cos(((sin(angle_rad ^ 12.117765) ^ sin(density)) / (1.5332004 - (angle_rad ^ angle_rad))) ^ (0.7363547 ^ density)) + exp(density / 1.7154402)))"
29,0.018486014,"density * (0.0010726546 / (cos(((sin(angle_rad ^ 12.117765) ^ sin(density)) / (1.5331688 - (angle_rad ^ (angle_rad * 1.0038083)))) ^ (0.7363547 ^ density)) + exp(density / 1.7154396)))"
30,0.018486012,"sin(density * (0.0010726546 / (cos(((sin(angle_rad ^ 12.117765) ^ sin(density)) / (1.5331688 - (angle_rad ^ (angle_rad * 1.0038083)))) ^ (0.7363547 ^ density)) + exp(density / 1.7154396))))"
